stimulus,stim_name,sample_id
b10_1,A216 stationary,A216
b15_0,A085 stationary,A085
b19_0,A186 stationary,A186
b20_0,A097 stationary,A097
b21_0,A109 stationary,A109
b22_0,A137 stationary,A137
b23_0,A303 stationary,A303
b24_0,A036 stationary,A036
b25_0,A093 stationary,A093
b27_0,A064 stationary,A064
b28_0,A094 stationary,A094
b29_0,A294 stationary,A294
b30_0,A263 stationary,A263
b31_0,A291 stationary,A291
b32_0,A075 stationary,A075
b33_0,A005 stationary,A005
b3_2,A179 stationary,A179
b4_2,A160 stationary,A160
b5_2,A138 stationary,A138
